lon,lat,x,y,z,vp,vs,vp_vs_ratio
-84.700,9.560,0.000,40.000,0.000,5.350,0.000,0.0000
-84.700,9.560,0.000,40.000,5.000,6.120,0.000,0.0000
-84.700,9.560,0.000,40.000,9.000,6.120,0.000,0.0000
-84.700,9.560,0.000,40.000,13.000,6.280,0.000,0.0000
-84.700,9.560,0.000,40.000,16.000,6.460,0.000,0.0000
-84.700,9.560,0.000,40.000,20.000,6.720,0.000,0.0000
-84.700,9.560,0.000,40.000,25.000,7.010,0.000,0.0000
-84.700,9.560,0.000,40.000,30.000,7.390,0.000,0.0000
-84.700,9.560,0.000,40.000,35.000,7.550,0.000,0.0000
-84.700,9.560,0.000,40.000,40.000,8.140,0.000,0.0000
-84.700,9.560,0.000,40.000,50.000,8.140,0.000,0.0000
-84.700,9.560,0.000,40.000,65.000,8.260,0.000,0.0000
-84.700,9.560,0.000,40.000,90.000,8.260,0.000,0.0000
-84.700,9.560,0.000,40.000,700.000,10.300,0.000,0.0000
-84.700,9.740,0.000,60.000,-10.000,3.000,0.000,0.0000
-84.700,9.740,0.000,60.000,0.000,5.350,0.000,0.0000
-84.700,9.740,0.000,60.000,5.000,6.120,0.000,0.0000
-84.700,9.740,0.000,60.000,9.000,6.120,0.000,0.0000
-84.700,9.740,0.000,60.000,13.000,6.280,0.000,0.0000
-84.700,9.740,0.000,60.000,16.000,6.460,0.000,0.0000
-84.700,9.740,0.000,60.000,20.000,6.720,0.000,0.0000
-84.700,9.740,0.000,60.000,25.000,7.010,0.000,0.0000
-84.700,9.740,0.000,60.000,30.000,7.390,0.000,0.0000
-84.700,9.740,0.000,60.000,35.000,7.550,0.000,0.0000
-84.700,9.740,0.000,60.000,40.000,8.140,0.000,0.0000
-84.700,9.740,0.000,60.000,50.000,8.140,0.000,0.0000
-84.700,9.740,0.000,60.000,65.000,8.260,0.000,0.0000
-84.700,9.740,0.000,60.000,90.000,8.260,0.000,0.0000
-84.700,9.740,0.000,60.000,700.000,10.300,0.000,0.0000
-84.700,9.919,0.000,80.000,-10.000,3.000,0.000,0.0000
-84.700,9.919,0.000,80.000,0.000,5.350,0.000,0.0000
-84.700,9.919,0.000,80.000,5.000,6.120,0.000,0.0000
-84.700,9.919,0.000,80.000,9.000,6.120,0.000,0.0000
-84.700,9.919,0.000,80.000,13.000,6.280,0.000,0.0000
-84.700,9.919,0.000,80.000,16.000,6.460,0.000,0.0000
-84.700,9.919,0.000,80.000,20.000,6.720,0.000,0.0000
-84.700,9.919,0.000,80.000,25.000,7.010,0.000,0.0000
-84.700,9.919,0.000,80.000,30.000,7.390,0.000,0.0000
-84.700,9.919,0.000,80.000,35.000,7.550,0.000,0.0000
-84.700,9.919,0.000,80.000,40.000,8.140,0.000,0.0000
-84.700,9.919,0.000,80.000,50.000,8.140,0.000,0.0000
-84.700,9.919,0.000,80.000,65.000,8.260,0.000,0.0000
-84.700,9.919,0.000,80.000,90.000,8.260,0.000,0.0000
-84.700,9.919,0.000,80.000,700.000,10.300,0.000,0.0000
-84.700,10.099,0.000,100.000,-10.000,3.000,0.000,0.0000
-84.700,10.099,0.000,100.000,0.000,5.350,0.000,0.0000
-84.700,10.099,0.000,100.000,5.000,6.120,0.000,0.0000
-84.700,10.099,0.000,100.000,9.000,6.120,0.000,0.0000
-84.700,10.099,0.000,100.000,13.000,6.280,0.000,0.0000
-84.700,10.099,0.000,100.000,16.000,6.460,0.000,0.0000
-84.700,10.099,0.000,100.000,20.000,6.720,0.000,0.0000
-84.700,10.099,0.000,100.000,25.000,7.010,0.000,0.0000
-84.700,10.099,0.000,100.000,30.000,7.390,0.000,0.0000
-84.700,10.099,0.000,100.000,35.000,7.550,0.000,0.0000
-84.700,10.099,0.000,100.000,40.000,8.140,0.000,0.0000
-84.700,10.099,0.000,100.000,50.000,8.140,0.000,0.0000
-84.700,10.099,0.000,100.000,65.000,8.260,0.000,0.0000
-84.700,10.099,0.000,100.000,90.000,8.260,0.000,0.0000
-84.700,10.099,0.000,100.000,700.000,10.300,0.000,0.0000
-84.700,10.279,0.000,120.000,-10.000,3.000,0.000,0.0000
-84.700,10.279,0.000,120.000,0.000,5.350,0.000,0.0000
-84.700,10.279,0.000,120.000,5.000,6.120,0.000,0.0000
-84.700,10.279,0.000,120.000,9.000,6.120,0.000,0.0000
-84.700,10.279,0.000,120.000,13.000,6.280,0.000,0.0000
-84.700,10.279,0.000,120.000,16.000,6.460,0.000,0.0000
-84.700,10.279,0.000,120.000,20.000,6.720,0.000,0.0000
-84.700,10.279,0.000,120.000,25.000,7.010,0.000,0.0000
-84.700,10.279,0.000,120.000,30.000,7.390,0.000,0.0000
-84.700,10.279,0.000,120.000,35.000,7.550,0.000,0.0000
-84.700,10.279,0.000,120.000,40.000,8.140,0.000,0.0000
-84.700,10.279,0.000,120.000,50.000,8.140,0.000,0.0000
-84.700,10.279,0.000,120.000,65.000,8.260,0.000,0.0000
-84.700,10.279,0.000,120.000,90.000,8.260,0.000,0.0000
-84.700,10.279,0.000,120.000,700.000,10.300,0.000,0.0000
-84.700,10.459,0.000,140.000,-10.000,3.000,0.000,0.0000
-84.700,10.459,0.000,140.000,0.000,5.350,0.000,0.0000
-84.700,10.459,0.000,140.000,5.000,6.120,0.000,0.0000
-84.700,10.459,0.000,140.000,9.000,6.120,0.000,0.0000
-84.700,10.459,0.000,140.000,13.000,6.280,0.000,0.0000
-84.700,10.459,0.000,140.000,16.000,6.460,0.000,0.0000
-84.700,10.459,0.000,140.000,20.000,6.720,0.000,0.0000
-84.700,10.459,0.000,140.000,25.000,7.010,0.000,0.0000
-84.700,10.459,0.000,140.000,30.000,7.390,0.000,0.0000
-84.700,10.459,0.000,140.000,35.000,7.550,0.000,0.0000
-84.700,10.459,0.000,140.000,40.000,8.140,0.000,0.0000
-84.700,10.459,0.000,140.000,50.000,8.140,0.000,0.0000
-84.700,10.459,0.000,140.000,65.000,8.260,0.000,0.0000
-84.700,10.459,0.000,140.000,90.000,8.260,0.000,0.0000
-84.700,10.459,0.000,140.000,700.000,10.300,0.000,0.0000
-84.700,10.639,0.000,160.000,-10.000,3.000,0.000,0.0000
-84.700,10.639,0.000,160.000,0.000,5.350,0.000,0.0000
-84.700,10.639,0.000,160.000,5.000,6.120,0.000,0.0000
-84.700,10.639,0.000,160.000,9.000,6.120,0.000,0.0000
-84.700,10.639,0.000,160.000,13.000,6.280,0.000,0.0000
-84.700,10.639,0.000,160.000,16.000,6.460,0.000,0.0000
-84.700,10.639,0.000,160.000,20.000,6.720,0.000,0.0000
-84.700,10.639,0.000,160.000,25.000,7.010,0.000,0.0000
-84.700,10.639,0.000,160.000,30.000,7.390,0.000,0.0000
-84.700,10.639,0.000,160.000,35.000,7.550,0.000,0.0000
-84.700,10.639,0.000,160.000,40.000,8.140,0.000,0.0000
-84.700,10.639,0.000,160.000,50.000,8.140,0.000,0.0000
-84.700,10.639,0.000,160.000,65.000,8.260,0.000,0.0000
-84.700,10.639,0.000,160.000,90.000,8.260,0.000,0.0000
-84.700,10.639,0.000,160.000,700.000,10.300,0.000,0.0000
-84.700,10.819,0.000,180.000,-10.000,3.000,0.000,0.0000
-84.700,10.819,0.000,180.000,0.000,5.350,0.000,0.0000
-84.700,10.819,0.000,180.000,5.000,6.120,0.000,0.0000
-84.700,10.819,0.000,180.000,9.000,6.120,0.000,0.0000
-84.700,10.819,0.000,180.000,13.000,6.280,0.000,0.0000
-84.700,10.819,0.000,180.000,16.000,6.460,0.000,0.0000
-84.700,10.819,0.000,180.000,20.000,6.720,0.000,0.0000
-84.700,10.819,0.000,180.000,25.000,7.010,0.000,0.0000
-84.700,10.819,0.000,180.000,30.000,7.390,0.000,0.0000
-84.700,10.819,0.000,180.000,35.000,7.550,0.000,0.0000
-84.700,10.819,0.000,180.000,40.000,8.140,0.000,0.0000
-84.700,10.819,0.000,180.000,50.000,8.140,0.000,0.0000
-84.700,10.819,0.000,180.000,65.000,8.260,0.000,0.0000
-84.700,10.819,0.000,180.000,90.000,8.260,0.000,0.0000
-84.700,10.819,0.000,180.000,700.000,10.300,0.000,0.0000
-84.700,10.999,0.000,200.000,-10.000,3.000,0.000,0.0000
-84.700,10.999,0.000,200.000,0.000,5.350,0.000,0.0000
-84.700,10.999,0.000,200.000,5.000,6.120,0.000,0.0000
-84.700,10.999,0.000,200.000,9.000,6.120,0.000,0.0000
-84.700,10.999,0.000,200.000,13.000,6.280,0.000,0.0000
-84.700,10.999,0.000,200.000,16.000,6.460,0.000,0.0000
-84.700,10.999,0.000,200.000,20.000,6.720,0.000,0.0000
-84.700,10.999,0.000,200.000,25.000,7.010,0.000,0.0000
-84.700,10.999,0.000,200.000,30.000,7.390,0.000,0.0000
-84.700,10.999,0.000,200.000,35.000,7.550,0.000,0.0000
-84.700,10.999,0.000,200.000,40.000,8.140,0.000,0.0000
-84.700,10.999,0.000,200.000,50.000,8.140,0.000,0.0000
-84.700,10.999,0.000,200.000,65.000,8.260,0.000,0.0000
-84.700,10.999,0.000,200.000,90.000,8.260,0.000,0.0000
-84.700,10.999,0.000,200.000,700.000,10.300,0.000,0.0000
-84.700,11.179,0.000,220.000,-10.000,3.000,0.000,0.0000
-84.700,11.179,0.000,220.000,0.000,5.350,0.000,0.0000
-84.700,11.179,0.000,220.000,5.000,6.120,0.000,0.0000
-84.700,11.179,0.000,220.000,9.000,6.120,0.000,0.0000
-84.700,11.179,0.000,220.000,13.000,6.280,0.000,0.0000
-84.700,11.179,0.000,220.000,16.000,6.460,0.000,0.0000
-84.700,11.179,0.000,220.000,20.000,6.720,0.000,0.0000
-84.700,11.179,0.000,220.000,25.000,7.010,0.000,0.0000
